extracted_date,priceUsd,priceUsd_shift,forecast
2023-03-28,27065.67065705673,,
2023-03-29,28118.212220963607,1052.5415639068779,
2023-03-30,28415.30473785868,297.09251689507437,
2023-03-31,28240.960478553636,-174.34425930504585,
2023-04-01,28503.413140715063,262.4526621614277,
2023-04-02,28348.953691494167,-154.4594492208962,
2023-04-03,28022.53299189918,-326.4206995949862,
2023-04-04,28109.395798735353,86.86280683617224,
2023-04-05,28388.481469291466,279.08567055611275,
2023-04-06,28069.005875981762,-319.475593309704,
2023-04-07,27990.57476196484,-78.43111401692295,
2023-04-08,28089.653892889783,99.07913092494346,
2023-04-09,28140.639772801624,50.98587991184104,
2023-04-10,28645.144269118937,504.50449631731317,
2023-04-11,30144.733821313243,1499.5895521943057,
2023-04-12,30039.77811015347,-104.95571115977145,
2023-04-13,30292.168710030248,252.39059987677683,
2023-04-14,30650.677738419898,358.50902838964976,
2023-04-15,30434.86393716639,-215.81380125350915,
2023-04-16,30393.85546984179,-41.008467324598314,
2023-04-17,29735.327354255118,-658.5281155866724,
2023-04-18,29980.323491810435,244.99613755531755,
2023-04-19,29599.232027827064,-381.0914639833718,
2023-04-20,28693.587108964028,-905.6449188630359,
2023-04-21,27989.452341456425,-704.1347675076031,
2023-04-22,27514.09172207578,-475.3606193806445,
2023-04-23,27697.619362670568,183.52764059478795,
2023-04-24,27571.814757561395,-125.80460510917328,
2023-04-25,27583.350432069383,11.535674507988006,
2023-04-26,28875.273458930642,1291.9230268612591,
2023-04-27,29169.99054432128,294.7170853906391,
2023-04-28,29360.849677705086,190.85913338380487,
2023-04-29,29400.277513361852,39.42783565676655,
2023-04-30,29482.779330948986,82.5018175871337,
2023-05-01,28480.66849275394,-1002.1108381950471,
2023-05-02,28305.97840405356,-174.69008870037942,
2023-05-03,28610.541248337562,304.5628442840025,
2023-05-04,29021.697026970094,411.155778632532,
2023-05-05,29307.214701742207,285.5176747721125,
2023-05-06,29274.176066004242,-33.038635737964796,
2023-05-07,29043.869765010215,-230.30630099402697,
2023-05-08,28012.195802356462,-1031.6739626537528,
2023-05-09,27673.42216598085,-338.7736363756121,
2023-05-10,27762.66234115142,89.24017517056927,
2023-05-11,27307.234738762938,-455.4276023884813,
2023-05-12,26523.12847782302,-784.1062609399196,
2023-05-13,26896.081518370658,372.95304054763983,
2023-05-14,26926.755851553327,30.674333182669216,
2023-05-15,27339.98207514788,413.2262235945527,
2023-05-16,27081.448056402027,-258.53401874585325,
2023-05-17,27011.056822139177,-70.39123426285005,
2023-05-18,27155.42625550606,144.36943336688273,
2023-05-19,26873.985030890704,-281.44122461535517,
2023-05-20,26955.668953605575,81.68392271487028,
2023-05-21,26987.781902832532,32.112949226957426,
2023-05-22,26818.864338286647,-168.9175645458854,
2023-05-23,27253.263521014018,434.3991827273712,
2023-05-24,26628.135707260004,-625.1278137540139,
2023-05-25,26305.300779709025,-322.83492755097905,
2023-05-26,26578.959792925885,273.65901321686033,
2023-05-27,26728.631633633566,149.67184070768053,
2023-05-28,27305.345272464565,576.7136388309991,
2023-05-29,27862.827589120072,557.482316655507,
2023-05-30,27799.558736362047,-63.26885275802488,
2023-05-31,27236.207514667556,-563.351221694491,
2023-06-01,26934.801715738467,-301.40579892908863,
2023-06-02,27090.674512191166,155.87279645269882,
2023-06-03,27178.723212903962,88.04870071279583,
2023-06-04,27189.659855179554,10.936642275592021,
2023-06-05,26458.157664658913,-731.5021905206413,
2023-06-06,26129.311159105662,-328.8465055532506,
2023-06-07,26720.355322337833,591.0441632321708,
2023-06-08,26495.83437576875,-224.5209465690823,
2023-06-09,26538.97029698477,43.135921216020506,
2023-06-10,25894.217078133006,-644.7532188517653,
2023-06-11,25903.23903250009,9.021954367082799,
2023-06-12,25902.520885733105,-0.7181467669834092,
2023-06-13,26010.07229112302,107.55140538991327,
2023-06-14,25848.24491220474,-161.82737891827855,
2023-06-15,25118.21292994843,-730.0319822563106,
2023-06-16,25779.045105374196,660.8321754257668,
2023-06-17,26499.443196528413,720.3980911542167,
2023-06-18,26576.913142962374,77.46994643396101,
2023-06-19,26530.57908770179,-46.33405526058414,
2023-06-20,27191.112455426894,660.5333677251037,
2023-06-21,29250.09008943964,2058.9776340127464,
2023-06-22,30076.98817843601,826.8980889963714,
2023-06-23,30331.428033590182,254.4398551541708,
2023-06-24,30648.92907739598,317.50104380579796,
2023-06-25,30641.192440452756,-7.736636943223857,
2023-06-26,30290.207644594164,-350.9847958585924,
2023-06-27,30552.79810568755,262.5904610933867,
2023-06-28,30312.543957844086,-240.25414784346503,
2023-06-29,30411.923385227845,99.37942738375932,
2023-06-30,30573.56366694558,161.6402817177368,
2023-07-01,30519.933569734934,-53.630097210647364,
2023-07-02,30561.68824885733,41.75467912239401,
2023-07-03,30831.73413807628,270.04588921895265,
2023-07-04,30997.73003509005,165.99589701377045,
2023-07-05,30611.05462552918,-386.6754095608703,
2023-07-06,30526.95560914483,-84.09901638435258,
2023-07-07,30205.64443681762,-321.3111723272086,
2023-07-08,30256.27453073344,50.63009391582091,
2023-07-09,30307.30766391488,51.033133181437734,
2023-07-10,30283.886248542283,-23.42141537259522,
2023-07-11,30519.889069337074,236.00282079479075,
2023-07-12,30601.449077543286,81.56000820621193,
2023-07-13,30733.114276532287,131.6651989890015,
2023-07-14,31028.631487121223,295.517210588936,
2023-07-15,30357.207975446378,-671.4235116748459,
2023-07-16,30353.999009012055,-3.2089664343220647,
2023-07-17,30213.378957771467,-140.6200512405885,
2023-07-18,29977.099234249323,-236.2797235221442,
